Player	Team	Age	G	GS	CG	SHO	IP	H	ER	K	BB	HR	W	L	SV	BS	HLD	ERA	WHIP
Ricardo Pinto	PHI	30	6	0	0	0	10.2	19	13	8	5	2	0	0	1	0	0	10.97	2.25
Adrian Morejon	SD	25	7	0	0	0	10.1	15	3	16	0	0	0	0	0	0	0	2.61	1.45
Tyler Kinley	COL	33	12	0	0	0	10.1	20	15	10	10	4	1	0	0	0	1	13.06	2.9
Drew Smith	NYM	30	10	0	0	0	10	10	3	11	7	0	1	0	1	0	3	2.7	1.7
Ty Blach	COL	33	3	1	0	0	10	8	4	3	2	0	0	1	0	0	0	3.6	1
Tobias Myers	MIL	25	2	2	0	0	10	9	5	9	1	3	0	1	0	0	0	4.5	1
Aroldis Chapman	PIT	36	14	0	0	0	10	5	6	18	12	1	0	2	1	2	6	5.4	1.7
Andre Pallante	STL	25	9	0	0	0	10	14	7	6	5	1	0	1	0	0	1	6.3	1.9
Darius Vines	ATL	26	2	2	0	0	9.2	11	5	6	3	2	0	1	0	0	0	4.66	1.45
Gregory Soto	PHI	29	12	0	0	0	9.2	13	7	11	6	0	0	0	2	0	3	6.52	1.97
Lucas Sims	CIN	29	11	0	0	0	9.1	8	7	10	9	3	1	1	0	1	5	6.75	1.82
Tyler Matzek	ATL	33	10	0	0	0	9.1	14	8	10	2	2	0	0	0	0	2	7.71	1.71
Daniel Palencia	CHC	24	5	0	0	0	9	7	5	9	7	0	0	1	1	0	0	5	1.56
Spencer Strider	ATL	25	2	2	0	0	9	10	7	12	5	2	0	0	0	0	0	7	1.67
Luke Little	CHC	23	10	1	0	0	9	8	7	8	7	1	0	0	0	0	2	7	1.67
Giovanny Gallegos	STL	32	12	0	0	0	9	11	9	13	7	4	2	0	1	0	2	9	2
Jared Koenig	MIL	30	5	0	0	0	8.2	9	1	4	2	0	2	0	0	0	0	1.04	1.27
Colten Brewer	CHC	31	5	0	0	0	8.2	7	4	8	3	1	0	0	0	0	0	4.15	1.15
Miguel Castro	ARI	29	8	0	0	0	8.2	12	5	6	1	1	0	0	0	0	1	5.19	1.5
Robert Garcia	WSH	27	11	0	0	0	8.1	12	6	13	4	1	0	1	0	1	3	6.48	1.92
Josiah Gray	WSH	26	2	2	0	0	8.1	15	13	9	5	2	0	2	0	0	0	14.04	2.4
Justin Martinez	ARI	22	6	0	0	0	8	5	1	9	6	0	0	0	0	0	0	1.13	1.38
Sean Hjelle	SF	26	4	0	0	0	8	5	3	7	1	2	0	1	0	0	0	3.38	0.75
Pedro Avila	SD	27	4	0	0	0	8	5	8	9	6	1	1	0	0	0	0	9	1.38
